,country,year,coal_mw_new
253,India,2002,2040
254,Indonesia,2002,0
255,Iran,2002,0
256,Ireland,2002,0
257,Israel,2002,0
258,Italy,2002,0
259,Ivory Coast,2002,0
260,Jamaica,2002,0
261,Japan,2002,3550
262,Jordan,2002,0
263,Kazakhstan,2002,0
264,Kenya,2002,0
265,Kosovo,2002,0
266,Kyrgyzstan,2002,0
267,Laos,2002,0
268,Latvia,2002,0
269,Madagascar,2002,0
270,Malawi,2002,0
271,Malaysia,2002,700
272,Mauritius,2002,0
273,Mexico,2002,0
274,Moldova,2002,0
275,Mongolia,2002,0
276,Montenegro,2002,0
277,Morocco,2002,0
278,Mozambique,2002,0
279,Myanmar,2002,0
280,Namibia,2002,0
281,Netherlands,2002,0
282,New Zealand,2002,0
283,Niger,2002,0
284,Nigeria,2002,0
285,North Korea,2002,0
286,North Macedonia,2002,0
287,Oman,2002,0
288,Pakistan,2002,0
289,Panama,2002,0
290,Papua New Guinea,2002,0
291,Peru,2002,0
292,Philippines,2002,0
293,Poland,2002,346
294,Portugal,2002,0
295,Reunion,2002,0
296,Romania,2002,0
297,Russia,2002,0
298,Senegal,2002,0
299,Serbia,2002,0
300,Slovakia,2002,0
301,Slovenia,2002,0
302,South Africa,2002,0
303,South Korea,2002,500
304,Spain,2002,0
305,Sri Lanka,2002,0
306,Sudan,2002,0
307,Eswatini,2002,0
308,Sweden,2002,0
309,Syria,2002,0
310,Taiwan,2002,3154
311,Tajikistan,2002,0
312,Tanzania,2002,0
313,Thailand,2002,0
314,Turkey,2002,0
315,Ukraine,2002,0
316,United Arab Emirates,2002,0
317,United Kingdom,2002,0
318,United States,2002,1105
319,Uzbekistan,2002,0
320,Venezuela,2002,0
321,Vietnam,2002,600
322,Zambia,2002,0
323,Zimbabwe,2002,0
324,Albania,2003,0
325,Argentina,2003,0
326,Australia,2003,885
327,Austria,2003,0
328,Bangladesh,2003,0
329,Belarus,2003,0
330,Belgium,2003,0
331,Bosnia and Herzegovina,2003,0
332,Botswana,2003,0
333,Brazil,2003,0
334,Brunei,2003,0
335,Bulgaria,2003,0
336,Cambodia,2003,0
337,Canada,2003,0
338,Chile,2003,0
339,China,2003,22731
340,Colombia,2003,0
341,Croatia,2003,0
342,Czech Republic,2003,0
343,Democratic Republic of Congo,2003,0
344,Denmark,2003,0
345,Dominican Republic,2003,0
346,Egypt,2003,0
347,El Salvador,2003,0
348,Ethiopia,2003,0
349,Finland,2003,0
350,France,2003,0
351,Georgia,2003,0
352,Germany,2003,0
353,Ghana,2003,0
354,Greece,2003,330
355,Guadeloupe,2003,0
356,Guatemala,2003,0
357,Guinea,2003,0
358,Honduras,2003,0
359,Hong Kong,2003,0
360,Hungary,2003,0
361,India,2003,1735
362,Indonesia,2003,0
363,Iran,2003,0
364,Ireland,2003,0
365,Israel,2003,0
366,Italy,2003,0
367,Ivory Coast,2003,0
368,Jamaica,2003,0
369,Japan,2003,2388
370,Jordan,2003,0
371,Kazakhstan,2003,0
372,Kenya,2003,0
373,Kosovo,2003,0
374,Kyrgyzstan,2003,0
375,Laos,2003,0
376,Latvia,2003,0
377,Madagascar,2003,0
378,Malawi,2003,0
379,Malaysia,2003,1400
380,Mauritius,2003,0
381,Mexico,2003,0
382,Moldova,2003,0
383,Mongolia,2003,0
384,Montenegro,2003,0
385,Morocco,2003,0
386,Mozambique,2003,0
387,Myanmar,2003,0
388,Namibia,2003,0
389,Netherlands,2003,0
390,New Zealand,2003,0
391,Niger,2003,0
392,Nigeria,2003,0
393,North Korea,2003,0
