,country,alpha_3,year,coal_mw_new,coal_mw_retired,coal_mw_change
153,Japan,JPN,2001,1654,530,1124
154,Jordan,JOR,2001,0,0,0
155,Kazakhstan,KAZ,2001,58,0,58
156,Kenya,KEN,2001,0,0,0
157,Kosovo,,2001,0,0,0
158,Kyrgyzstan,KGZ,2001,0,0,0
159,Laos,LAO,2001,0,0,0
160,Latvia,LVA,2001,0,0,0
161,Madagascar,MDG,2001,0,0,0
162,Malawi,MWI,2001,0,0,0
163,Malaysia,MYS,2001,0,0,0
164,Mauritius,MUS,2001,0,0,0
165,Mexico,MEX,2001,0,0,0
166,Moldova,MDA,2001,0,0,0
167,Mongolia,MNG,2001,0,0,0
168,Montenegro,MNE,2001,0,0,0
169,Morocco,MAR,2001,348,0,348
170,Mozambique,MOZ,2001,0,0,0
171,Myanmar,MMR,2001,0,0,0
172,Namibia,NAM,2001,0,0,0
173,Netherlands,NLD,2001,0,0,0
174,New Zealand,NZL,2001,0,0,0
175,Niger,NER,2001,0,0,0
176,Nigeria,NGA,2001,0,0,0
177,North Korea,KOR,2001,0,0,0
178,North Macedonia,MKD,2001,0,0,0
179,Oman,OMN,2001,0,0,0
180,Pakistan,PAK,2001,0,0,0
181,Panama,PAN,2001,0,0,0
182,Papua New Guinea,PNG,2001,0,0,0
183,Peru,PER,2001,0,0,0
184,Philippines,PHL,2001,0,0,0
185,Poland,POL,2001,0,0,0
186,Portugal,PRT,2001,0,0,0
187,Reunion,REU,2001,0,0,0
188,Romania,ROU,2001,0,0,0
189,Russia,RUS,2001,215,0,215
190,Senegal,SEN,2001,0,0,0
191,Serbia,SRB,2001,0,0,0
192,Slovakia,SVK,2001,0,0,0
193,Slovenia,SVN,2001,0,0,0
194,South Africa,ZAF,2001,716,0,716
195,South Korea,PRK,2001,1500,0,1500
196,Spain,ESP,2001,0,0,0
197,Sri Lanka,LKA,2001,0,0,0
198,Sudan,SDN,2001,0,0,0
199,Eswatini,SWZ,2001,0,0,0
200,Sweden,SWE,2001,0,0,0
201,Syria,SYR,2001,0,0,0
202,Taiwan,TWN,2001,0,0,0
203,Tajikistan,TJK,2001,0,0,0
204,Tanzania,TZA,2001,0,0,0
205,Thailand,THA,2001,0,0,0
206,Turkey,TUR,2001,0,0,0
207,Ukraine,UKR,2001,0,0,0
208,United Arab Emirates,ARE,2001,0,0,0
209,United Kingdom,GBR,2001,0,0,0
210,United States,USA,2001,1079,35,1044
211,Uzbekistan,UZB,2001,0,0,0
212,Venezuela,VEN,2001,0,0,0
213,Vietnam,VNM,2001,0,0,0
214,Zambia,ZMB,2001,0,0,0
